sampling_id,region,sampling_rank,zone,spot_name,spot_longitude,spot_latitude,sampling_date,way_point,gps_device,precision,sampling_start,sampling_end,sampling_method,weather,wind_speed,wave_height,water_temperature,visibility_horizontal,current_speed,depth_min,depth_max,habitat_type,pictures_habitat,videos_habitat,sampling_area,tasks_done,notes
R01,R,1,North_beach,Eilat_north_beach,E 34.96054,N 29.54178,2018-05-28,RNORTHBEACH,Garmin_oregon189,5,21:10,22:19,scubadiving,Night_clear,10,0,26,>30,<0.5,2,10,Sand_rocky_seagrass_algae,Yes,Yes,100_x_100,water_sediment_fish,Below_pier
R02,R,2,Coral_reef,Eilat_south_beach,E 34.91994,N 29.48554,2018-05-29,RSOUTHBEACH,Garmin_oregon190,5,15:30,18:00,scuba_snorkel,Sunny,10,10,26,>30,<0.5,0,10,Coral_reef,Yes,Yes,100_x_100,macrophytes_videos,in_front_camp_area
R03,R,3,Coral_reef,Eilat_IUI,E 34.92238,N 29.49817,2018-05-29,RIUI,Garmin_oregon191,5,19:30,0:30,snorkeling,Dawn_to_night,0,0,26,>30,<0.5,2,10,Sand_reef,Yes,Yes,100_x_50,water_videos_fish,blue whale spotted in the afternoon nearby
R04,R,4,North_beach,Eilat_north_beach,E 34.96054,N 29.54178,2018-05-30,RNORTHBEACH,Garmin_oregon192,5,13:30,14:00,snorkeling,Sunny,10,0,26,>20,<0.5,0,2,Sand_rocky_seagrass_algae,Yes,Yes,100_x_100,water_macrophytes,close_to_shore
R05,R,5,Coral_reef,Eilat_IUI,E 34.92238,N 29.49817,2018-05-31,RIUI,Garmin_oregon193,5,10:50,12:00,snorkeling,Sunny,10,0,26,>30,NA,1,4,Sand_reef,Yes,Yes,200_x_50,water_videos,all_along_IUI_beach
R06,R,6,North_beach,Eilat_north_beach,E 34.96054,N 29.54178,2018-05-31,RNORTHBEACH,Garmin_oregon194,5,21:10,22:00,scubadiving,Night_clear,0,0,26,NA,NA,2,8,Sand_rocky_seagrass_algae,Yes,Yes,100_x_100,fish,along_boat_mooring
R07,R,7,Coral_reef,Eilat_IUI,E 34.92238,N 29.49817,2018-06-01,RIUI,Garmin_oregon195,5,0:00,0:45,scubadiving,Night_clear,20,10,26,NA,NA,3,12,Sand_reef,Yes,Yes,100_x_50,fish,around_IUI_pier
I08,I,8,Sdot_Yam,Sdot_Yam,E 34.88889,N 32.49094,2018-06-03,ISDOTYAM,Garmin_oregon196,5,19:15,19:30,snorkeling,Dusk_clear,20,30,26,10_20,0_0.5,1,3,sand_rocks,No,No,100_x_100,water_benthos,in_lagoon
I09,I,9,Sdot_Yam,Sdot_Yam,E 34.885056,N 32.48966,2018-06-03,ISDOTYAM,GPS_shahar,5,21:25,22:15,scubadiving,Night_clear,20,30,26,8_10,NA,3,6,rocks_sand,No,No,unknown,fish,
I10,I,10,Sdot_Yam,Sdot_Yam,E 34.887522,N 32.492817,2018-06-04,ISDOTYAM,Garmin_oregon198,5,17:00,18:00,snorkeling,Sunny,20,50_100,26,10_20,1,1,3,sand_rocks,Yes,Yes,250_x_20,macrophytes,along_barrier
I11,I,11,Mikhmoret,Mikhmoret,E 34.86620,N 32.40466,2018-06-05,IMIKHMORET,Garmin_oregon199,5,17:30,18:15,snorkeling,Sunny,20,50_100,26,5_10,1,1,4,rocks_sand,Yes,Yes,100_x_100,water_benthos_macrophytes,
I12,I,12,Mikhmoret,Mikhmoret,E 34.864384,N 32.40617,2018-06-05,IMIKHMORET,GPS_shahar,5,22:25,23:25,scubadiving,Night_clear,20,50,26,8_10,NA,3,7.7,rocks_sand,No,No,unknown,fish,
I13,I,13,Mikhmoret,Mikhmoret,E 34.869244,N 32.414982,2018-06-07,IMIKHMORET,GoogleMaps,0,10:30,11:45,snorkeling,Sunny,20,50_100,26,5_10,1,2,5,rocks_sand,Yes,Yes,200_x_200,videos,Sea_Reserve_Tel_Gerrit
F14,F,14,Carnon_Palavas,Carnon,E 3.97020,N 43.51992,2018-06-11,LESURF,Garmin_oregon200,5,17:45,19:45,scubadiving,cloudy_rainy,30,50,23,0_5,1,7,13,rocky_sandy_seagrass,No,No,50_x_50,water_macrophyte_fish,
F15,F,15,Carnon_Palavas,Carnon,E 3.97020,N 43.51992,2018-06-11,LESURF,Garmin_oregon200,5,22:05,22:55,scubadiving,night_clear,0,0,23,0_5,0.5_1,7,13,rocky_sandy_seagrass,No,No,50_x_50,sediment,
F16,F,16,Frontignan_Aresquiers,Frontignan,E 3.83430,N 43.43370,2018-06-12,LaGrotte,Garmin_oregon200,5,19:45,20:40,scubadiving,dusk,20,0,18,5,0,9,11,rocky_algae,No,No,50_x_50,water_macrophyte_benthos_fish,gorgona
F17,F,17,Frontignan_Aresquiers,Frontignan,E 3.83430,N 43.43370,2018-06-12,LaGrotte,Garmin_oregon200,5,22:45,23:33,scubadiving,night_clear,30,0,18,5,0,9,11,rocky_algae,No,No,50_x_50,fish_macrophyte,gorgona
F18,F,18,Frontignan_Aresquiers,Frontignan,NA,NA,2018-06-15,NA,NA,NA,unknown,unknown,gillnet,clear_wind,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,fisherman_Denis_PONS
F19,F,19,Frontignan_Aresquiers,Frontignan,NA,NA,2018-06-15,NA,NA,NA,unknown,unknown,angling_handnet,clear_wind,unknown,unknown,unknown,unknown,unknown,unknown,unknown,rocky,No,No,unknown,fish,David_MOUILLOT's_trainees
F20,F,20,Frontignan_Aresquiers,Frontignan,NA,NA,2018-06-19,NA,NA,NA,unknown,unknown,gillnet,clear_wind,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,fisher
F21,F,21,Carnon_Palavas,Carnon,NA,NA,2018-06-19,NA,NA,NA,unknown,unknown,gillnet,clear_wind,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,fisher
F22,F,22,Carnon_Palavas,Carnon,E 3.97020,N 43.51992,2018-06-19,LESURF,Garmin_oregon200,5,17:00,unknown,scubadiving,clear,0,10,15,5_8,NA,3,6,rocky_sandy_seagrass,Yes,Yes,50_x_50,water_benthos_macrophyte,fisher ; done_after_F23 ; video_done_but_uninteresting
F23,F,23,Carnon_Palavas,Palavas,NA,NA,2018-06-19,NA,NA,NA,unknown,unknown,gillnet,clear_wind,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,fisher ; done_before_F22
F24,F,24,Carnon_Palavas,Palavas,NA,NA,2018-06-20,NA,NA,NA,unknown,unknown,gillnet,clear,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,Palavas'_fisher
F25,F,25,Frontignan_Aresquiers,Frontignan,E 3.778423,N 43.431935,2018-06-21,plage_du_port,Google_maps,NA,15:00,17:30,snorkeling,sunny,NA,NA,17,5_8,NA,0,2,sand_rocky_algae,No,No,20_x_20,water_benthos_macrophytes,
F26,F,26,Carnon_Palavas,Carnon,NA,NA,2018-06-22,NA,NA,NA,05:00,unknown,gillnet,clear,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti
F33,F,33,Frontignan_Aresquiers,Frontignan,NA,NA,2018-09-06,NA,NA,NA,10:30,11:30,gillnet,cloudy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No,No,unknown,fish,fisherman_Denis_PONS
F34,F,34,Frontignan_Aresquiers,Frontignan,NA,NA,2018-09-07,NA,NA,NA,09:30,12:00,gillnet,sunny,unknown,30,19.4,unknown,unknown,20,40,unknown,No,No,Plateau_Aresquiers,fish,fisherman_Denis_PONS
F35,F,35,Frontignan_Aresquiers,Frontignan,NA,NA,2018-09-10,NA,NA,NA,09:15,11:10,gillnet,sunny,unknown,20,21.3,unknown,unknown,20,40,unknown,No,No,Plateau_Aresquiers,fish,fisherman_Denis_PONS
F36,F,36,Frontignan_Aresquiers,Frontignan,NA,NA,2018-09-11,NA,NA,NA,10:00,11:50,gillnet,sunny,unknown,30,21.4,unknown,unknown,20,40,unknown,No,No,Plateau_Aresquiers,fish,fisherman_Denis_PONS
F37,F,37,Carnon_Palavas,Carnon,E 3.994133,N 43.547394,2018-09-12,plage_avranches,Google_maps,10m,08:00,09:45,snorkeling_fishing_rod,cloudy,unknown,20,21.4,unknown,unknown,1.5,3,unknown,No,Yes (1),unknown,water_sediment_fish,
F38,F,38,Frontignan_Aresquiers,Frontignan,NA,NA,2018-09-14,NA,NA,NA,10:40,11:45,gillnet,cloudy,unknown,40,21.3,unknown,unknown,20,40,unknown,No,No,Plateau_Aresquiers,fish,fisherman_Denis_PONS
F39,F,39,Carnon_Palavas,Carnon,NA,NA,2018-09-18,NA,NA,NA,09:17,12:30,gillnet,cloudy,unknown,20,23,unknown,unknown,0,10,unknown,No,no,unknown,fish,fisherman_Jean-Pierre_Gritti
F40,F,40,Carnon_Palavas,Carnon,NA,NA,2018-09-19,NA,NA,NA,09:35,11:30,gillnet,sunny,unknown,40,23,unknown,unknown,0,10,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti
F41,F,41,Carnon_Palavas,Carnon,NA,NA,2018-09-20,NA,NA,NA,09:35,11:02,gillnet,sunny,unknown,20,23,unknown,unknown,0,10,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti
F42,F,42,Carnon_Palavas,Carnon,NA,NA,2018-09-21,near_rocks,NA,NA,09:50,13:25,gillnet,sunny,unknown,20,23,unknown,unknown,0,10,unknown,No,Noi,unknown,fish,fisherman_Jean-Pierre_Gritti
F43,F,43,Carnon_Palavas,Carnon,E 3.97020,N 43.51992,2018-09-24,LESURF,NA,NA,10:00,10:30,scubadiving,sunny,unknown,20,20,unknown,unknown,0,6,unknown,Yes,No,Carnon_le_surf,water_benthos_macrophyte,
F44,F,44,Carnon_Palavas,Carnon,NA,NA,2018-09-26,NA,NA,NA,10:38,12:00,gillnet,sunny,unknown,40,19.5,unknown,unknown,0,10,unknown,No,No,petit_travers,fish,fisherman_Jean-Pierre_Gritti
F45,F,45,Carnon_Palavas,Carnon,NA,NA,2018-09-27,NA,NA,NA,09:40,11:10,gillnet,sunny,unknown,40,19.5,unknown,unknown,0,10,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti
F46,F,46,Carnon_Palavas,Carnon,NA,NA,2018-09-28,NA,NA,NA,09:45,11:45,gillnet,sunny,unknown,40,19.5,unknown,unknown,0,10,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti
F47,F,47,Frontignan_Aresquiers,Frontignan,NA,NA,2018-09-28,NA,NA,NA,10:33,11:45,gillnet,sunny,unknown,40,19.5,unknown,unknown,20,40,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti
F48,F,48,Frontignan_Aresquiers,Frontignan,E 3.786338,N 43.421250,2018-10-04,NA,Garmin_gpsmap78,3m,13:00,13:35,scubadiving,sunny,unknown,30,19.4,unknown,unknown,0,8,unknown,Yes,No,unknown,water_benthos_macrophyte,
R49,R,49,Coral_reef,Eilat_IUI,E 34.917492,N 29.501952,2018-10-09,RIUI,google_maps,NA,20:55,02:05,scubadiving,Night_clear,unknown,unknown,unknown,unknown,unknown,7,15,Coral_reef,No,No,200_x_50,fish,south_of_IUIpier
R50,R,50,Coral_reef,Eilat_IUI,E 34.917629,N 29.501949,2018-10-10,RIUI,google_maps,NA,15:55,17:00,snorkelling,Sunny_wind,unknown,unknown,unknown,unknown,unknown,0,2,Coral_reef,Yes,No,20_x_20,water_sediment_turf_videos,10m_north_of_pier (+videos morning and day after)
R51,R,51,North_beach,Eilat_north_beach,E 34.953465,N 29.547305,2018-10-10,RNORTHBEACH,google_maps,NA,20:49,01:30,scubadiving,Night_clear,unknown,unknown,unknown,unknown,unknown,6,15,Coral_reef,No,No,100_x_100,fish_macrophyte,around_underwater_restaurant
R52,R,52,North_beach,Eilat_north_beach,E 34.953465,N 29.547305,2018-10-11,RNORTHBEACH,google_maps,NA,16:20,17:56,snorkelling,sunny,unknown,unknown,unknown,unknown,unknown,0,7,Coral_reef,Yes,No,20_x_20,water_sediment,under_pier (+ videos)
R53,R,53,Coral_reef,Eilat_IUI,E 34.916353,N 29.500991,2018-10-12,RIUI,google_maps,NA,09:00,09:45,snorkelling,sunny,unknown,unknown,unknown,unknown,unknown,0,1,Coral_reef,Yes,No,20_x_20,turf_videos,front_of_IUIdorm (+videos south beach)
R54,R,54,Coral_reef,Eilat_IUI,E 34.917438,N 29.501829,2018-10-12,RIUI,google_maps,NA,17:30,18:15,snorkelling,sunny,unknown,unknown,unknown,unknown,unknown,0,2,Coral_reef,No,No,20_x_20,water_sediment,around_IUIpier
I55,I,55,Sdot_Yam,Sdot_Yam,E 34.885056,N 32.48966,2018-10-14,ISDOTYAM,NA,NA,22:22,01:15,scubadiving,sunny,unknown,unknown,unknown,unknown,unknown,NA,NA,rocks_sand,No,No,unknown,fish,
I56,I,56,Sdot_Yam,Sdot_Yam,E 34.885890,N 32.488769,2018-10-15,ISDOTYAM,NA,NA,15:30,17:00,snorkelling,cloudy,unknown,unknown,unknown,unknown,unknown,0,2,rocks_sand,Yes,Yes,100_x_100,water_sediment_turf_videos,
I57,I,57,Mikhmoret,Mikhmoret,E 34.864384,N 32.40617,2018-10-16,IMIKHMORET,NA,NA,22:08,00:45,scubadiving,Night_clear,unknown,unknown,unknown,unknown,unknown,NA,NA,rocks_sand,No,No,unknown,fish,
I58,I,58,Mikhmoret,Mikhmoret,E 34.866505,N 32.403348,2018-10-17,IMIKHMORET,NA,NA,13:40,14:00,snorkelling,sunny,unknown,unknown,unknown,unknown,unknown,0,1,rocks_sand,No,No,10_x_10,water_sediment,within_harbour
I59,I,59.,Sdot_Yam,Sdot_Yam,E 34.887662,N 32.492996,2018-10-17,ISDOTYAM,NA,NA,15:30,16:30,snorkelling,sunny,unknown,unknown,unknown,unknown,unknown,0,1,rocks_sand,No,No,100_x_100,water_sediment_turf_videos,
F60,F,60,Frontignan_Aresquiers,Frontignan,NA,NA,2018-10-26,NA,NA,NA,11:15,12:15,gillnet,sunny,unknown,unknown,unknown,unknown,unknown,NA,NA,unknown,No,No,unknown,fish,fisherman_Denis_PONS | gillnet_put_the_25/10/2018_at_16:00
F61,F,61,Carnon_Palavas,Carnon,NA,NA,2018-10-26,NA,NA,NA,11:15,12:15,gillnet,sunny,unknown,unknown,unknown,unknown,unknown,NA,NA,unknown,No,No,unknown,fish,fisherman_Jean-Pierre_Gritti | gillnet_put_the_25/10/2018_at_16:00
F62,F,62,Thau_lagoon,Bouzigues,E 3.651687,N 43.442298,2018-11-16,NA,google_maps,25m,10:28,16:45,beach_seine,sunny,unknown,unknown,unknown,unknown,unknown,0,2,unknown,Yes,No,unknown,water_sediment_macrophyte_fish,fishermen_marbec_team_RPZ
F63,F,63,Frontignan_Aresquiers,Frontignan,NA,NA,2018-11-28,NA,NA,NA,10:15,11:36,gillnet,sunny,unknown,0.3,unknown,unknown,unknown,8,12,unknown,No,No,unknown,fish,
F64,F,64,Carnon_Palavas,Palavas,NA,NA,2018-12-04,NA,NA,NA,10:33,12:00,gillnet,sunny,unknown,0.4,16,unknown,unknown,0,11,unknown,No,No,unknown,fish,
