sampling_id,region,sampling_rank,zone,spot_name,spot_longitude,spot_latitude,sampling_date,way_point,gps_device,precision,sampling_start,sampling_end,sampling_method,weather,wind_speed,wave_height,water_temperature,visibility_horizontal,current_speed,depth_min,depth_max,habitat_type,pictures_habitat,videos_habitat,sampling_area,tasks_done,notes
F65,F,65,Carnon_Palavas,Carnon,NA,NA,2018-12-05,NA,NA,NA,10:33,12:00,gillnet,sunny,unknown,0.4,16,unknown,unknown,0,10,unknown,No,No,unknown,fish,
F66,F,66,Carnon_Palavas,Carnon,E 3.962567,N 43.533450,2018-12-14,3_arches,Garmin_gpsmap78,3m,13:30,13:54,scubadiving,sunny,unknown,0.5,13,2,unknown,3,6,rocks_sand,Yes,no,unknown,water_sediment_turf,
F67,F,67,Carnon_Palavas,Palavas,NA,NA,2018-12-17,NA,NA,NA,03:00,16:00,gillnet,Night,unknown,0.4,15,unknown,unknown,NA,20,unknown,No,No,unknown,fish,fish_caught_2018-12-15_frozen_until_2018-12-17
F68,F,68,Salses_Leucate,Salses_Leucate,NA,NA,2017-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F69,F,69,Carnon_Palavas,Carnon,NA,NA,2019-02-06,NA,NA,NA,likely_10:00,15:00,gillnet,sunny,unknown,0.1,NA,unknown,unknown,NA,NA,unknown,No,No,unknown,fish,
F70,F,70,Carnon_Palavas,Palavas,NA,NA,2019-02-06,NA,NA,NA,likely_10:30,15:00,gillnet,sunny,unknown,0.1,NA,unknown,unknown,NA,NA,unknown,No,No,unknown,fish,
F71,F,71,Carnon_Palavas,Palavas,E 3.917280,N 43.520258,2019-02-06,NA,NA,NA,11:30,15:00,beach_seine,sunny,unknown,0.1,NA,unknown,<0.5,0,1,sand,No,No,unknown,water_sediment_food,
F72,F,72,Carnon_Palavas,Palavas,E 3.917280,N 43.520258,2019-02-28,NA,NA,NA,10:20,14:00,beach_seine,,unknown,0.1,NA,unknown,<0.5,0,1,sand,Yes,Yes,unknown,water_sediment_fish,
F73,F,73,Carnon_Palavas,Palavas,E 3.917280,N 43.520258,2019-03-20,NA,NA,NA,10:00,12:00,handnet,sunny,significant,0.1,12,1.5,NA,0,1.5,sand,???,Yes,unknown,water_sediment_fish_video,
F74,F,74,Carnon_Palavas,Palavas,NA,NA,2019-04-11,NA,NA,NA,10:00,12:00,gillnet,cloudy,25,NA,NA,1,NA,NA,NA,unknown,NA,NA,unknown,fish,ice_pack_cooler
F75,F,75,Frontignan_Aresquiers,Frontignan,NA,NA,2019-04-17,NA,NA,NA,10:00,13:00,gillnet,sunny,unknown,NA,NA,unknown,unknown,NA,NA,unknown,NA,NA,unknown,fish,ice_pack_cooler
F76,F,76,Carnon_Palavas,Palavas,NA,NA,2019-04-17,NA,NA,NA,12:00,13:00,beach_seine,sunny,unknown,NA,14,unknown,unknown,1,1,rocks_sand,NA,NA,unknown,"juveniles, water and sediment",ice_pack_cooler
F77,F,77,Carnon_Palavas,Palavas,NA,NA,2019-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F78,F,78,Carnon_Palavas,Palavas,NA,NA,2019-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F79,F,79,Carnon_Palavas,Palavas,NA,NA,2019-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F80,F,80,Carnon_Palavas,Palavas,NA,NA,2019-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F81,F,81,Carnon_Palavas,Palavas,NA,NA,2019-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,ice_pack_cooler
F82,F,82,Carnon_Palavas,Palavas,E 3.919503,N 43.520384,2019-05-22,NA,NA,NA,10:30,16:00,gillnet,sunny,13,0.1,15,3,unknown,1,1,rocks_sand,yes,no,unknown,"juveniles, water, sediment and algae",
G83,G,83,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-06-05,NA,Google_maps,20m,09:00,13:19,gillnet,sunny,NA,10,23,> 20,unknown,0.5,4,rocks_sand,yes,yes,100_x_100,sarpa_juveniles_and_adult_and_siganus,ice_pack_cooler
G84,G,84,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-06-05,NA,Google_maps,20m,14:00,18:00,spear_gun,sunny,NA,10,23,> 20,unknown,2,3,rocks_sand,yes,yes,100_x_100,siganus_water_sediment_macrophytes,ice_pack_cooler
G85,G,85,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-06-05,NA,Google_maps,20m,16:30,18:00,NA,sunny,NA,10,23,> 20,unknown,1,1.5,rocks_sand,yes,yes,100_x_100,habitat_videos,ice_pack_cooler
G86,G,86,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-06-06,NA,Google_maps,20m,09:20,20:30,gillnet_and_speargun,sunny,NA,10,23,> 20,unknown,1,1.5,rocks_sand,yes,yes,100_x_100,"fishes, macrophytes, water, sediment, habitat videos",ice_pack_cooler
G87,G,87,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-06-07,NA,Google_maps,20m,10:00,11:30,gillnet_and_speagun,sunny,NA,10,23,> 20,unknow_but_current_in_water,1,1.5,rocks_sand_posidonia_seagrass,yes,yes,100_x_100,fishing and videos ,current_in_the_water
G88,G,88,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-06-07,NA,Google_maps,20m,15:30,17:00,NA,sunny_windy,NA,10,23,> 20,unknow_but_current_in_water,1,1.5,rocks_sand_posidonia_seagrass,yes,yes,100_x_100,"sediment, water, algae",current_in_the_water
G89,G,89,Bali,Bali,E 24.808517,N 35.411617,2019-06-02,NA,Google_maps,20m,04:00,08:00,gillnet_fishermen,NA,NA,NA,NA,NA,NA,6,7,rocky_substrate,no,no,unknown,fish,
G90,G,90,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-05-28,NA,Google_maps,20m,09:00,10:00,spear_gun,NA,NA,NA,NA,NA,NA,2,5,rocks_sand,no,no,unknown,fish,
G91,G,91,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-06-11,NA,Google_maps,20m,09:00,00:20,snorkeling_gillnet_speargun,sunny,NA,NA,NA,NA,NA,1,3,rocks_sand,yes,yes,100_x_100,fish_water_videos,
G92,G,92,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-06-12,NA,Google_maps,20m,10:00,20:00,spear_gun,sunny,NA,NA,NA,NA,NA,1,6,"rocks, seagrasses bed",yes,yes,100_x_100,fish_videos,
G93,G,93,Bali,Bali,E 24.808517,N 35.411617,2019-06-12,NA,Google_maps,20m,NA,19:00,gillnet_fishermen,sunny,NA,NA,NA,NA,NA,NA,NA,NA,no,no,unknown,fisherman,
G94,G,94,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-06-12,NA,Google_maps,20m,12:00,19:00,gillnet,sunny,NA,NA,NA,NA,NA,2,8,"rocks, seagrasses bed",yes,no,100_x_100,"macrophytes, fishes",
G95,G,95,Bali,Bali,E 24.789807,N 35.407351,2019-06-13,NA,Google_maps,20m,10:30,12:00,NA,sunny,NA,0,NA,> 10,NA,1,6,"sand, rocks",yes,yes,400_x_100,"rocks, macrophytes, water, videos",freshwater_seepage_in_the_bay_and_halocline
F96,F,96,Carnon_Palavas,Palavas,NA,NA,2019-05-07,NA,NA,NA,NA,NA,gillnet_fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F97,F,97,Carnon_Palavas,Palavas,NA,NA,2019-05-15,NA,NA,NA,NA,NA,gillnet_fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F98,F,98,Carnon_Palavas,Ponant,E 4.101086,N 43.556608,2019-06-18,NA,Google_maps,20m,NA,NA,fishing_rod,NA,NA,NA,NA,NA,NA,0.5,2,lagoon,NA,NA,NA,fish,Etang du Ponant regroupp̩ avec carnon_palavas
F99,F,99,Carnon_Palavas,Palavas,E 3.919151,N 43.519812,2019-06-26,NA,Google_maps,20m,10:00,12:00,gillnet,sunny,unknown,unknown,unknown,2m,unknown,0.5,2,"rocks, sand",no,no,100_x_5,sarpa_juveniles,
F100,F,100,Carnon_Palavas,Palavas,E 3.917180,N 43.520333,2019-06-27,NA,Google_maps,20m,07:35,08:15,gillnet,sunny,unknown,unknown,unknown,2m,unknown,0.5,2,"rocks, sand",no,no,100_x_5,sarpa_juveniles_macrophytes_sediment_water,
F101,F,101,Carnon_Palavas,Carnon,NA,NA,2019-07-04,NA,NA,NA,NA,NA,gillnet_fishermen,sunny,unknown,unknown,unknown,NA,unknown,NA,NA,NA,NA,NA,NA,Sarpa_salpa,
F102,F,102,Carnon_Palavas,Palavas,E 3.917180,N 43.520333,2019-07-04,NA,Google_maps,20m,10:00,12:30,snorkeling_gillnet,sunny,unknown,unknown,27,2m,unknown,0.5,2,"rocks, sand",no,yes,100_x_5,sarpa_juveniles_water_sediments_Mugilidae,
F103,F,103,Carnon_Palavas,Carnon,E 3.97020,N 43.51992,2019-07-04,LESURF,Garmin_oregon200,5m,10:45,11:00,scubadiving,sunny,unknown,unknown,27,5m,unknown,8,8.5,"rocks, seagrasses bed",yes,no,20_x_20,macrophytes_seagrass_sediments,
F104,F,104,Frontignan_Aresquiers,Frontignan,  E 3.805817,N 43.437167,2019-07-04,NA,Garmin_gpsmap78,3m,12:30,12:45,scubadiving,sunny,unknown,unknown,27,2m,unknown,5.5,6.2,"rocks, seagrasses bed",yes,no,20_x_20,seagrass_sediments,
F105,F,105,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-07-11,NA,Google_maps,10m,10:00,12:15,snorkeling_gillnet,sunny,unknown,unknown,24,2m,unknown,0.5,3,"rocks, sand",yes,yes,30_x_6,sarpa_juveniles_and_youngs_water_sediments_Mugilidae,
F106,F,106,Carnon_Palavas,Carnon,E 3.994133,N 43.547394,2019-07-14,plage_avranches,Google_maps,10m,10:00,11:35,snorkeling,sunny,30,10,24,10m,weak,0.5,3,"rocks, sand",yes,yes,30_x_6,videos,Sunday_seb
F107,F,107,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-08-29,NA,Google_maps,10m,09:30,13:00,snorkeling_gillnet,sunny,unknown,unknown,23,4m,unknown,0.5,3,"rocks, sand",no,yes,30_x_6,sarpa_juveniles_and_youngs_water_sediments_macrophytes,
F108,F,108,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-09-20,NA,Google_maps,10m,10:30,13:00,snorkeling_gillnet,cloudy,unknown,unknown,22,NA,unknown,0.5,3,"rocks, sand",yes,yes,30_x_6,sarpa_youngs_water_sediments_macrophytes_camera_tests_excretion,
F109,F,109,Carnon_Palavas,Carnon,NA,NA,2019-09-25,NA,NA,NA,NA,13:00,gillnet,sunny,unknown,unknown,NA,NA,unknown,NA,NA,NA,no,no,NA,Sarpa_salpa,fisherman_Jean-Pierre_Gritti
G110,G,110,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-02,NA,Google_maps,20m,09:30,11:00,gillnet_speargun,sunny,unknown,unknown,NA,> 10,unknown,0.5,3,rocks_sand,no,no,100_x_50,fish,
G111,G,111,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-02,NA,Google_maps,20m,06:30,19:30,video_long,cloudy,unknown,unknown,NA,> 10,unknown,0.5,2,rocks_sand_seagrasses,yes,yes,100_x_50,video,
G112,G,112,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-03,NA,Google_maps,20m,07:15,14:00,gillnet,sunny,unknown,unknown,NA,> 10,unknown,0.5,2,rocks_sand_seagrasses,yes,yes,100_x_50,videos_fish_water,
G113,G,113,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-03,NA,Google_maps,20m,15:00,20:30,gillnet_speargun,sunny,unknown,unknown,NA,> 10,unknown,0.5,2,rocks_sand_seagrasses,yes,yes,100_x_50,fish,
G114,G,114,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-04,NA,Google_maps,20m,09:00,16:00,gillnet_speargun_snorkeling,windy_sunny,unknown,unknown,NA,> 10,unknown,0.5,2,rocks_sand_seagrasses,yes,yes,100_x_50,water_excretion_fishes_sediment_macrophytes,
G115,G,115,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-04,NA,Google_maps,20m,20:20,00:00,hand_net_slingshot,night_waves,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,no,no,100_x_50,fishes,
G116,G,116,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-05,NA,Google_maps,20m,NA,NA,gillnet_fisherman,windy_waves,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,no,no,NA,fishes_caught_probably_in_the_night_because_not_really_fresh,fisherman_Heraklion_caught_in_Kokkini_Hani
G117,G,117,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-07,NA,Google_maps,20m,07:30,19:30,speargun_gillnet,sunny_waves,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,videos_fish,
G118,G,118,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-07,NA,Google_maps,20m,NA,20:00,gillnet,NA,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,fish,
G119,G,119,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-08,NA,Google_maps,20m,07:30,20:00,snorkeling_gillnet,sunny,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,fish_water_sediment_macrophytes_videos,
G120,G,120,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-08,NA,Google_maps,20m,11:00,20:00,scuba_diving_gillnet,sunny,unknown,unknown,25,NA,NA,NA,4.5,rocks_sand_seagrasses,yes,yes,100_x_50,fish_gillnet,
G121,G,121,Psaromoura,Psaromoura,E 25.019226,N 35.413666,2019-10-09,NA,Google_maps,20m,10:30,20:30,snorkeling_gillnet,sunny,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,fish_water_sediment_macrophytes,
G122,G,122,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-09,NA,Google_maps,20m,NA,11:30,gillnet_fisherman_Thanos,night,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,no,no,NA,fish,rain_between_07_and_08_october ; fishes_caught_during_the_night_by_fisherman
F123,F,123,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-10-29,NA,Google_maps,10m,10:50,11:15,snorkeling_gillnet,sunny,unknown,unknown,18,1m,NA,NA,NA,"rocks, sand",no,no,30_x_6,sarpa_salpa_juveniles_water_sediment_macrophyte,
F124,F,124,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-11-19,NA,Google_maps,10m,10:00,11:10,snorkeling_gillnet,sunny_cold_water,unknown,unknown,11,NA,NA,1,2.20,"rocks, sand",yes,no,30_x_6,sarpa_salpa_juveniles_water_sediment_macrophyte,
F125,F,125,Carnon_Palavas,Palavas,NA,NA,2019-11-25,NA,NA,NA,NA,NA,gillnet_fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F126,F,126,Carnon_Palavas,Palavas,NA,NA,2019-11-26,NA,NA,NA,NA,NA,gillnet_fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,heavy_rain_4_days_before_sampling
F127,F,124,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2020-07-07,NA,Google_maps,10m,09:45,12:00,snorkeling_gillnet,sunny,20,10,19,5m,<0.5,1,2,"rocks, sand",no,no,100_x_6,sarpa_salpa,"beach has been refilled with sand, depth beyond jetty is now 2m"